Material,Magnetic Entropy Change,Magnetic Field,Curie Temperature,source,Number,Article Title,Source Title,DOI,mpid
DyCo2,5.45,1 T,142,table_only_1stcheck6.txt,55,Calculation of magnetic entropy changes by fitting magnetization function,RARE METAL MATERIALS AND ENGINEERING,nan,Mp-00000
Gd,10.07 to 4.47,5 T,294 to 288,table_only_1stcheck9.txt,281,Magnetic entropy change in bulk nanocrystalline Gd metals,APPLIED NANOSCIENCE,10.1007/s13204-011-0007-2,Mp-00001
Mn3GaC,33,nan T,,table_only_1stcheck42.txt,269,"Assessment of the magnetic entropy change in the metallic antiperovskite Mn3GaC1-delta (delta=0, 0.22)",JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2005.04.020,Mp-00002
YCrO3,0.38,8 T,,table_only_1stcheck61.txt,399,Magnetic entropy change in a non-collinear weak ferromagnetic YCrO3,VACUUM,10.1016/j.vacuum.2020.109519,Mp-00003
ErCuAl,22.9,0-5 T,,table_only_1stcheck69.txt,93,Large magnetic entropy change and refrigerant capacity in rare-earth intermetallic RCuAl (R=Ho and Er) compounds,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2012.03.052,Mp-00004
HoCuAl,23.9,0-5 T,,table_only_1stcheck69.txt,232,Large magnetic entropy change and refrigerant capacity in rare-earth intermetallic RCuAl (R=Ho and Er) compounds,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2012.03.052,Mp-00005
SmMn2Ge2,0.65mol,nan T,,table_only_1stcheck92.txt,335,Magnetic entropy changes of SmMn2Ge2 under high pressure,MATERIALS TRANSACTIONS,10.2320/matertrans.48.451,Mp-00006
SmMn2Ge2,0.53mol,nan T,,table_only_1stcheck92.txt,336,Magnetic entropy changes of SmMn2Ge2 under high pressure,MATERIALS TRANSACTIONS,10.2320/matertrans.48.451,Mp-00007
Ba2FeMoO6,0.93,2.5 T,,table_only1001.txt,14,"Structural, magnetic and magnetocaloric properties of double perovskites Ba2-xLaxFeMoO6",SOLID STATE SCIENCES,10.1016/j.solidstatesciences.2019.105991,Mp-00008
CeFe2,7.9,,,table_only1006.txt,22,Magnetic phase transitions in the Ce(Fe1-x Si (x) )(2) compounds,PHYSICS OF METALS AND METALLOGRAPHY,10.1134/S0031918X14120096,Mp-00009
TmCoAl,18.2,5 T,,table_only1029.txt,592,Magnetic property and magnetocaloric effect in TmCoAl compound,INTERMETALLICS,10.1016/j.intermet.2014.08.006,Mp-00010
Dy2In,8.8,nan T,,table_only1031.txt,64,The enhanced magnetocaloric effect in Dy2In1-xAlx by a non-hysteresis metamagnetic phase transition,SCRIPTA MATERIALIA,10.1016/j.scriptamat.2019.03.029,Mp-00011
EuMnO3,15.23,1.2 T,,table_only1034.txt,179,"Structural, magnetic and magnetocaloric properties of EuMnO3 perovskite manganite: A comprehensive MCE study",MATERIALS RESEARCH EXPRESS,10.1088/2053-1591/aaacdc,Mp-00012
DyNi2Si2,6.9,2 T,,table_only1059.txt,100,"Low-field large reversible magnetocaloric effect in the RNi2Si2 (R=Dy, Ho, Er) compounds",JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2013.05.039,Mp-00013
ErNi2Si2,15.1,2 T,,table_only1059.txt,163,"Low-field large reversible magnetocaloric effect in the RNi2Si2 (R=Dy, Ho, Er) compounds",JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2013.05.039,Mp-00014
HoNi2Si2,10.9,2 T,,table_only1059.txt,401,"Low-field large reversible magnetocaloric effect in the RNi2Si2 (R=Dy, Ho, Er) compounds",JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2013.05.039,Mp-00015
DyMn2,15.7,0-5 T,,table_only1075.txt,96,"Large reversible magnetocaloric effect in RMn2 (R = Tb, Dy, Ho, Er) compounds",JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2013.03.185,Mp-00016
ErMn2,25.5,0-5 T,,table_only1075.txt,152,"Large reversible magnetocaloric effect in RMn2 (R = Tb, Dy, Ho, Er) compounds",JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2013.03.185,Mp-00017
HoMn2,18.4,0-5 T,,table_only1075.txt,390,"Large reversible magnetocaloric effect in RMn2 (R = Tb, Dy, Ho, Er) compounds",JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2013.03.185,Mp-00018
TbMn2,8.3,0-1 T,,table_only1075.txt,566,"Large reversible magnetocaloric effect in RMn2 (R = Tb, Dy, Ho, Er) compounds",JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2013.03.185,Mp-00019
